stop_id,stop_name,stop_lat,stop_lon,location_type
1728804,Wesley Dr opp. Century Dr,40.210255,-76.964317,0
1728805,Wesley Dr & Woodland St (Outbound),40.210598,-76.962059,0
500006,Hale Ave & Magnolia Rd,40.269169,-76.847664,0
1728808,S 10th St & Ayers Ave,40.237526,-76.898781,0
500009,State St & N 13th St,40.269306,-76.871628,0
500012,N 7th St & Boas St (L&I),40.269382,-76.882164,0
500013,Market St & S 21st St,40.269386,-76.857109,0
500027,Market St opp. S 21st St,40.269451,-76.857216,0
500028,State St & N 13th St,40.269432,-76.871613,0
500029,N 3rd St & Verbeke St,40.269527,-76.888756,0
500034,N 3rd St & Verbeke St,40.269661,-76.889053,0
500035,N 7th St opp. Boas St,40.269669,-76.882004,0
500036,Market St & S 22nd St,40.26981,-76.855576,0
500038,State St & N 15th St,40.269939,-76.870193,0
500039,State St & N 14th St,40.269772,-76.870766,0
500040,N 6th St & Cumberland St,40.269917,-76.885803,0
500041,N 6th St @ Ben Franklin School,40.269962,-76.885643,0
500045,Hale Ave & Midland Rd,40.270172,-76.848137,0
500047,Market St & S 23rd St,40.270271,-76.853928,0
500048,University Dr & Briarcrest Dr,40.270283,-76.674492,0
500049,University Dr & Briarcrest Dr,40.270302,-76.674179,0
500050,Market St opp. S 23rd St,40.270382,-76.853851,0
500053,State St & N 15th St,40.270527,-76.869011,0
500059,State St & N 16th St,40.270779,-76.868141,0
500060,N 3rd St & Calder St,40.270664,-76.889572,0
500062,N 3rd St & Calder St,40.270706,-76.889824,0
500063,Hale Ave & Chestnut St,40.27095,-76.848511,0
500064,State St & N 16th St,40.270901,-76.868042,0
500065,Briarcrest Dr & Centerview Ln,40.271065,-76.671661,0
500067,N 6th St & Verbeke St,40.271057,-76.886368,0
500068,N 6th St opp. Verbeke St,40.27095,-76.886208,0
500070,Briarcrest Dr & Centerview Ln,40.271095,-76.671928,0
500074,State St & N 17th St,40.271317,-76.866791,0
500075,Kline Plaza @ Rent-A-Center,40.27121,-76.843895,0
500078,Kline Plaza @ McDonald's,40.271259,-76.844238,0
500079,Market St opp. Briarcliff Rd,40.271259,-76.850792,0
500080,Market St & Bellevue Rd,40.271339,-76.850067,0
500083,Kline Plaza @ Department of Health,40.271355,-76.842697,0
500085,State St & N 17th St,40.271481,-76.866653,0
500089,N 3rd St & Reily St,40.271545,-76.890228,0
500090,Kline Plaza @ Giant,40.271549,-76.84053,0
500093,Market St & Hale Ave,40.271687,-76.848869,0
500094,N 3rd St & Reily St,40.271645,-76.890518,0
500096,Market St & Thomas St,40.271667,-76.849167,0
500099,State St & N 18th St,40.271877,-76.865402,0
500103,State St & N 18th St,40.272045,-76.865303,0
500108,Herr St & N Cameron St,40.272507,-76.876884,0
500109,N Cameron St & Herr St,40.27256,-76.877281,0
500112,N 6th St & Basin St,40.272579,-76.886307,0
500114,State St & N 19th St,40.272675,-76.863419,0
500116,N 3rd St & Harris St,40.272739,-76.891281,0
500117,N 3rd St & Harris St,40.2728,-76.891136,0
500119,State St & N 19th St,40.272842,-76.863312,0
500120,N 6th St & Reily St,40.273102,-76.886536,0
500121,Briarcrest Dr & Hillview Ln,40.273056,-76.668297,0
500122,Herr St & Dr Claude E Nichols St (opp. 12th St),40.273109,-76.875496,0
500123,Briarcrest Dr & Hillview Ln,40.273224,-76.66835,0
500125,N 7th St & Basin St (PHEAA),40.273247,-76.884712,0
500126,Herr St & N 12th St,40.273254,-76.875542,0
500127,N Cameron St & Cumberland St,40.273304,-76.87764,0
500129,N 6th St & Reily St,40.273312,-76.886833,0
500130,State St & N 20th St,40.273502,-76.861427,0
500133,S Enola Rd & Market St,40.27354,-76.916306,0
500134,State St & N 20th St,40.273651,-76.86132,0
500136,Herr St & N 13th St,40.273968,-76.873863,0
500137,N 3rd St & Hamilton St,40.274006,-76.891991,0
500139,Walnut St @ #2107,40.274071,-76.858047,0
500140,N 3rd St & Hamilton St,40.274055,-76.89222,0
500141,S Enola Rd & Market St,40.27409,-76.916992,0
500142,N Cameron St & Verbeke St,40.274231,-76.877853,0
500143,W Areba Ave @ Briarcrest Apartments,40.273693,-76.666061,0
