trip_id,route_id,service_id,trip_headsign,block_id,shape_id
573,27,1,Inbound,1301,136
515,24,1,Inbound,1391,102
377,11,1,Inbound,1251,68
704,14,2,Outbound,8271,0
1762,11,1,Outbound,2662,69
574,27,1,Inbound,1121,139
349,9,1,Inbound,1492,1
888,4,1,Outbound,1251,36
1763,11,1,Inbound,1201,68
778,11,2,Outbound,7401,69
922,45,1,Outbound,1091,128
843,9,2,Outbound,7221,44
209,6,1,Outbound,2641,117
366,11,1,Outbound,1151,69
375,11,1,Inbound,1331,68
873,1,2,Inbound,7441,40
770,8,2,Inbound,8611,109
553,25,1,Inbound,4011,57
879,1,2,Inbound,7431,40
564,26,1,Inbound,1371,177
731,6,2,Inbound,8611,142
1800,48,1,Inbound,1531,9
766,8,2,Inbound,7421,109
625,32,1,Outbound,4121,106
866,1,2,Outbound,8611,45
927,45,1,Inbound,1101,129
902,23,1,Inbound,1441,39
365,11,1,Outbound,1121,69
152,4,1,Inbound,2581,51
204,6,1,Outbound,1031,117
195,5,1,Inbound,1422,4
504,22,1,Outbound,1432,144
794,5,2,Outbound,7251,89
129,4,1,Outbound,1261,36
401,13,1,Outbound,1271,81
1792,48,1,Inbound,1181,9
224,6,1,Inbound,2561,61
1997,54,1,Inbound,4091,49
597,55,1,Outbound,2571,20
1799,48,1,Outbound,1531,6
397,13,1,Outbound,1111,80
1026,26,1,Inbound,2641,137
733,8,2,Outbound,7401,7
448,16,1,Outbound,1492,32
246,7,1,Outbound,4051,58
428,14,1,Outbound,2591,0
788,55,2,Outbound,7431,90
144,4,1,Inbound,1081,51
36,1,1,Inbound,1421,40
39,1,1,Inbound,1011,40
1824,48,1,Inbound,1542,9
596,55,1,Outbound,1191,20
370,11,1,Outbound,1342,69
639,2,2,Outbound,7501,43
177,5,1,Inbound,1021,22
280,8,1,Outbound,4021,24
499,21,1,Outbound,4161,130
981,7,1,Outbound,1221,58
1820,48,1,Inbound,1261,9
495,20,1,Inbound,1281,76
482,19,1,Inbound,1141,82
426,14,1,Outbound,1171,0
627,32,1,Outbound,1291,105
651,4,2,Outbound,7211,36
503,22,1,Outbound,4011,144
1784,48,1,Inbound,1181,9
898,23,1,Outbound,4181,154
834,19,2,Inbound,7401,82
361,11,1,Outbound,1331,69
297,8,1,Inbound,1401,13
489,19,1,Inbound,1271,82
52,1,1,Inbound,2631,40
622,32,1,Outbound,1231,104
10,1,1,Outbound,1441,45
1765,11,1,Inbound,2662,68
183,5,1,Inbound,1411,23
123,4,1,Outbound,1271,36
722,6,2,Inbound,7541,142
281,8,1,Outbound,4171,15
13,1,1,Outbound,1041,45
172,5,1,Outbound,4081,91
205,6,1,Outbound,1241,108
378,11,1,Inbound,1301,68
511,24,1,Outbound,2631,99
697,14,2,Outbound,7481,0
245,7,1,Outbound,1352,58
618,32,1,Outbound,1311,63
863,1,2,Outbound,7431,45
194,5,1,Inbound,4081,4
101,2,1,Inbound,2651,38
1982,18,1,Inbound,2611,46
369,11,1,Outbound,1412,69
469,18,1,Inbound,2561,46
831,32,2,Outbound,7511,12
607,32,1,Inbound,1411,181
429,14,1,Outbound,2661,0
248,7,1,Outbound,2651,58
934,53,1,Outbound,1041,73
877,1,2,Inbound,7541,40
872,1,2,Inbound,7171,40
660,2,2,Inbound,7211,37
173,5,1,Outbound,1422,91
48,1,1,Inbound,2611,40
534,25,1,Outbound,1392,161
517,24,1,Inbound,3071,102
176,5,1,Outbound,4231,107
570,26,1,Inbound,1342,26
700,14,2,Outbound,6091,0
853,1,2,Outbound,7381,45
286,8,1,Outbound,2591,15
535,25,1,Outbound,4131,160
734,8,2,Outbound,7151,7
900,23,1,Inbound,3041,149
288,8,1,Outbound,2631,15
944,53,2,Inbound,7171,70
69,2,1,Outbound,1502,118
40,1,1,Inbound,1101,40
473,19,1,Outbound,1241,2
68,2,1,Outbound,1261,43
623,32,1,Outbound,1101,12
323,8,1,Inbound,2672,109
207,6,1,Outbound,1291,19
996,7,1,Inbound,2611,124
239,7,1,Outbound,1461,58
522,24,1,Inbound,1372,30
348,9,1,Inbound,1442,5
742,8,2,Outbound,7421,7
599,55,1,Outbound,4231,110
943,53,2,Outbound,8611,73
678,4,2,Inbound,7541,51
791,55,2,Outbound,7501,90
319,8,1,Inbound,2611,109
881,1,2,Inbound,8551,40
992,6,1,Outbound,1442,19
1778,2,1,Inbound,1051,88
645,2,2,Outbound,8291,43
393,13,1,Outbound,3071,87
884,32,1,Inbound,4101,114
692,4,2,Inbound,7231,51
148,4,1,Inbound,1332,51
44,1,1,Inbound,1352,40
398,13,1,Outbound,1301,81
710,14,2,Inbound,7151,8
1796,48,1,Inbound,1161,9
35,1,1,Inbound,1181,40
689,6,2,Outbound,8291,74
179,5,1,Inbound,1071,22
661,2,2,Inbound,7431,37
906,23,1,Inbound,1221,41
92,2,1,Inbound,1161,37
427,14,1,Outbound,1231,0
507,24,1,Outbound,1041,178
548,25,1,Inbound,1271,123
698,14,2,Outbound,7151,0
243,7,1,Outbound,1332,58
552,25,1,Inbound,4221,57
